CNPJ empresa,CNPJ prestador,nfs
01.637.593/0001-64,63.561.596/0001-19,16
01.637.593/0001-64,63.561.596/0001-19,46
01.637.593/0001-64,63.561.596/0001-19,47
01.637.593/0001-64,63.561.596/0001-19,52
55.611.386/0001-60,63.561.596/0001-19,58
58.578.648/0001-20,63.561.596/0001-19,29
58.578.648/0001-20,63.561.596/0001-19,30
58.578.648/0001-20,63.561.596/0001-19,31
58.578.648/0001-20,63.561.596/0001-19,41
58.578.648/0001-20,63.561.596/0001-19,42
58.578.648/0001-20,63.561.596/0001-19,43
