cod_obra
211
1211
2211
18
43
11166
185
181
66
1058
58
71
1112
112
2112
115
68
19
35
133
134
177
1482
148
1483
1148
1485
1486
1484
153
11148
143
1143
1206
1201
201
1210
2210
210
1202
202
1215
215
2215
1200
200
1190
190
80
1166
2166
166
1158
2158
158
1097
2097
97
1120
2120
120
14
180
1801
1803
1804
1805
1806
1807
1808
225
229
226
227
228
179
101
99
142
154
1154
1541
11154
4146
155
172
1172
26
206
161
117
86
59
145
195
1125
2125
125
333
1195
1130
11301
2130
130
1300
164
1164
1177
3106
1106
106
2106
41
23
169
208
207
53
156
205
184
1203
203
1139
139
2139
1140
11401
140
2140
63
3083
1083
83
2083
84
1138
138
2138
1113
113
2113
131
1204
2204
204
2190
1168
2168
168
114
109
74
34
60
40
1209
209
2209
87
88
25
163
111
1111
99997
127
1127
2127
3092
1092
2092
85
92
100
165
144
67
1099
13
123
29
1141
11141
2141
141
178
107
47
82
45
2045
1045
216
1216
217
1217
218
1218
219
1219
220
1220
221
1221
1178
49
2241
224
9999
31
30
99998
99996
157
135
110
108
116
1191
191
3136
1136
2136
9991
136
27
69
132
1137
99993
2137
137
99992
1205
1023
3104
1104
124
104
2104
10103
3103
103
1103
2103
1102
2102
102
33
6
1192
192
4
5
8
9
20
15
93
44
1186
186
1187
187
1198
1188
188
198
1212
222
223
121
16
70
1167
2167
167
1182
182
96
91
11
38
147
1147
2147
151
1151
152
1152
230
1230
1189
189
1175
175
32
173
1173
174
1174
176
1176
75
76
1
64
72
51
78
79
81
90
94
21
1199
199
1162
1159
162
159
73
52
10097
146
1146
2146
149
1149
150
1150
17
1196
196
1197
197
10
1213
129
1129
7
2
1183
183
3
37
1144
232
1214
61
22
1231
231
2231
36
1105
105
128
2105
126
1126
1809
300
99995
99999
160
42
98
89
1089
170
1170
171
1171
233
236
1236
2236
3236
4236
5236
6236
7236
235
12
24
